Com_Name,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12
Mallard/Mexican Duck,0,0,0,0,0,0,0,3.24e-5,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48e-5,0,0,0,3.53e-5,0,0,0,0,NA,0,8.1e-6,0,3.75e-4,0,0,0,0,0,6.2e-6,8.825e-6,0,3.3177083333333335e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Black Duck,7.512e-4,6.941e-4,7.712e-4,4.892e-4,2.297e-4,2.424e-4,1.393e-4,2.919e-4,1.755e-4,2.707e-4,1.553e-4,2.818e-4,9.39e-5,0,4.2e-5,7.77e-5,5.69e-5,5.32e-5,2.03e-5,1.51e-5,2.21e-5,9.19e-5,2.42e-5,0.0015,0.0015,0,3.13e-5,0,3.01e-5,3.11e-5,3.02e-5,4.13e-5,2.76e-5,5.87e-5,8.92e-5,4.9e-5,1.213e-4,5.95e-5,2.421e-4,9.9e-5,3.085e-4,2.925e-4,2.253e-4,3.535e-4,3.379e-4,6.045e-4,3.676e-4,4.657e-4,NA,6.76425e-4,2.25825e-4,2.2082500000000001e-4,5.3400000000000004e-5,3.6374999999999996e-5,4.0955e-4,3.82825e-4,3.3175e-5,5.6124999999999995e-5,1.30475e-4,2.9495e-4,4.4392499999999996e-4,2.4698958333333333e-4,6.76425e-4,0,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mallard x American Black Duck (hybrid),1.174e-4,6.04e-5,6.43e-5,6.99e-5,3.28e-5,2.69e-5,3.98e-5,6.49e-5,0,6.01e-5,0,0,2.35e-5,4.47e-5,2.1e-5,4.66e-5,0,0,0,0,0,0,2.42e-5,0,0,0,0,0,0,0,0,0,0,0,0,2.45e-5,3.03e-5,0.0015,0.0015,0,3.43e-5,6.5e-5,3.76e-5,0,0,0,3.68e-5,1.552e-4,NA,7.8e-5,4.11e-5,1.5025e-5,3.395e-5,0,6.05e-6,0,0,6.125e-6,7.57575e-4,3.4225e-5,4.8e-5,8.500416666666666e-5,7.57575e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
White-cheeked Pintail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3.75e-4,0,0,0,0,3.125e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Northern Pintail,0.0870484,0.0841959,0.0842839,0.0885628,0.0806457,0.0759078,0.0639877,0.083655,0.0892444,0.09717,0.0978936,0.094682,0.0892706,0.0860717,0.0746312,0.0665776,0.0486094,0.0366872,0.0230588,0.0147747,0.0092009,0.0101351,0.0095763,0.0080918,0.0066149,0.0062605,0.0068532,0.0073905,0.0108463,0.0222222,0.0422135,0.0747781,0.0915984,0.096725,0.1008653,0.1087175,0.1053573,0.1076635,0.1064735,0.1078645,0.091928,0.0922327,0.0848794,0.0800283,0.0738785,0.0699883,0.0649122,0.0725133,NA,0.08602275,0.07604904999999999,0.0947475,0.079137775,0.030782525,0.009251025,0.006779775,0.037515025,0.09947655,0.1068397,0.0872671,0.070323075,0.06534932083333334,0.1068397,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Gadwall x Northern Pintail (hybrid),9.39e-5,6.04e-5,9.64e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43e-5,3.25e-5,7.51e-5,0,0,4.32e-5,3.68e-5,7.76e-5,NA,6.2675e-5,0,0,0,0,0,0,0,0,0,3.5474999999999995e-5,3.94e-5,1.14625e-5,6.2675e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Wigeon x Northern Pintail (hybrid),0,0,0,0,0,0,0,0,0,0,0,0,7.04e-5,6.7e-5,0,0,0,0,0,1.51e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,3.435e-5,3.775e-6,0,0,0,0,0,0,0,3.1770833333333333e-6,3.435e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mallard x Northern Pintail (hybrid),6.338e-4,6.941e-4,8.033e-4,5.358e-4,5.906e-4,6.195e-4,4.18e-4,3.568e-4,6.728e-4,5.714e-4,5.952e-4,5.285e-4,5.632e-4,3.127e-4,1.679e-4,1.864e-4,7.58e-5,3.54e-5,2.03e-5,3.02e-5,0,0,0,0,0,0,0,0,0,0,0,0,2.76e-5,5.87e-5,0,2.45e-5,3.03e-5,1.785e-4,2.421e-4,3.219e-4,3.77e-4,3.575e-4,7.887e-4,1.767e-4,4.224e-4,2.591e-4,4.411e-4,2.328e-4,NA,6.6675e-4,4.96225e-4,5.91975e-4,3.0755e-4,4.0425e-5,0,0,0,2.77e-5,1.932e-4,4.24975e-4,3.3885e-4,2.5730416666666666e-4,6.6675e-4,0,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Green-winged Teal,0.103458,0.104083,0.1077086,0.1159562,0.1110929,0.1070736,0.0904387,0.1198871,0.1227075,0.1272744,0.1324656,0.1397418,0.155238,0.1685245,0.1742095,0.1740495,0.1267371,0.0839728,0.0556052,0.0399022,0.0265853,0.0240623,0.0237232,0.0199747,0.018459,0.0173137,0.0190887,0.021418800000000002,0.0383839,0.0587302,0.0812821,0.1082766,0.1205504,0.1320284,0.1354783,0.1497221,0.1508959,0.1617481,0.1565461,0.1620691,0.1434447,0.1354241,0.12656800000000001,0.1160127,0.111557,0.1013773,0.0914872,0.0967792,NA,0.10780145,0.107123075,0.130547325,0.16800537499999998,0.07655432499999999,0.023586375,0.01907005,0.0716682,0.1344448,0.1578148,0.130362375,0.100300175,0.10227319375,0.16800537499999998,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Blue-winged x Green-winged Teal (hybrid),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3.75e-4,0,0,0,0,0,0,0,3.125e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
American Wigeon x Green-winged Teal (hybrid),0,0,0,0,0,1.886e-4,0,0,0,0,2.59e-5,3.52e-5,7.04e-5,2.23e-5,1.259e-4,1.55e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25e-5,3.76e-5,0,0,0,0,0,NA,0,4.715e-5,1.5275e-5,5.8525e-5,0,0,0,0,0,0,1.7525e-5,0,1.1539583333333334e-5,5.8525e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
